rho,dataset,epoch_max_mean,epoch_max_sem,epoch_min_mean,epoch_min_sem,global_step_max_mean,global_step_max_sem,global_step_min_mean,global_step_min_sem,num_train_steps_max_mean,num_train_steps_max_sem,num_train_steps_min_mean,num_train_steps_min_sem,train_loss_max_mean,train_loss_max_sem,train_loss_min_mean,train_loss_min_sem,OneHotClassificationMetrics_accuracy_max_mean,OneHotClassificationMetrics_accuracy_max_sem,OneHotClassificationMetrics_accuracy_min_mean,OneHotClassificationMetrics_accuracy_min_sem,OneHotClassificationMetrics_precision_max_mean,OneHotClassificationMetrics_precision_max_sem,OneHotClassificationMetrics_precision_min_mean,OneHotClassificationMetrics_precision_min_sem,OneHotClassificationMetrics_recall_max_mean,OneHotClassificationMetrics_recall_max_sem,OneHotClassificationMetrics_recall_min_mean,OneHotClassificationMetrics_recall_min_sem,OneHotClassificationMetrics_f1_score_max_mean,OneHotClassificationMetrics_f1_score_max_sem,OneHotClassificationMetrics_f1_score_min_mean,OneHotClassificationMetrics_f1_score_min_sem,OneHotClassificationMetrics_mcc_max_mean,OneHotClassificationMetrics_mcc_max_sem,OneHotClassificationMetrics_mcc_min_mean,OneHotClassificationMetrics_mcc_min_sem,train_energy_mean,train_energy_sem,total_energy_mean,total_energy_sem,train_time_mean,train_time_sem,total_time_mean,total_time_sem,BleuScore_bleu_max_mean,BleuScore_bleu_max_sem,BleuScore_bleu_min_mean,BleuScore_bleu_min_sem,NistScore_nist_max_mean,NistScore_nist_max_sem,NistScore_nist_min_mean,NistScore_nist_min_sem,RougeScore_rouge1_max_mean,RougeScore_rouge1_max_sem,RougeScore_rouge1_min_mean,RougeScore_rouge1_min_sem,RougeScore_rouge2_max_mean,RougeScore_rouge2_max_sem,RougeScore_rouge2_min_mean,RougeScore_rouge2_min_sem,RougeScore_rougeL_max_mean,RougeScore_rougeL_max_sem,RougeScore_rougeL_min_mean,RougeScore_rougeL_min_sem,RougeScore_rougeLsum_max_mean,RougeScore_rougeLsum_max_sem,RougeScore_rougeLsum_min_mean,RougeScore_rougeLsum_min_sem,MeteorScore_meteor_max_mean,MeteorScore_meteor_max_sem,MeteorScore_meteor_min_mean,MeteorScore_meteor_min_sem,total_flops_mean,total_flops_sem
0.25,allenai_task219_rocstories_title_answer_generation,2.999999999999902,0.0,0.0,0.0,2199.0,0.0,0.0,0.0,2199.0,0.0,2199.0,0.0,1.204040765762329,0.0,0.8251628279685974,0.0,,,,,,,,,,,,,,,,,,,,,23059.949298879663,187.1107390930225,66566.96328186133,2122.163639090258,83.26674100000001,1.6006049283818702,519.1333576666667,6.299722520372922,0.0024216307900214,0.0013259863163764,0.0,0.0,0.2800302058242105,0.0080443583395545,0.0230244687004326,0.0001179834622957,0.1681351635754624,0.0022125523973541,0.0349952078896197,0.0005849774145646,0.0365273288174731,0.0009542679202547,0.0069257929492657,0.0003187314296589,0.1672573808066907,0.0023105484802597,0.0334929057852556,0.0006659707304175,0.1675987281170017,0.0022826262138138,0.0341845737682638,0.000587516637533,0.1609886251212471,0.0013093670006475,0.0791453424401609,0.0018524831503617,9175843203616384.0,
0.25,allenai_task288_gigaword_summarization,5.000000000000068,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,1080.0,0.0,1080.0,0.0,3.3075311183929443,0.0,1.5924351215362549,0.0,,,,,,,,,,,,,,,,,,,,,9711.249551691,177.08510328820847,39352.49479770833,783.5544303168793,36.70636533333333,1.316567251522221,469.3273876666667,37.619852770730745,0.0164644098214037,0.0030489992394746,0.0011991622751683,0.0001919219827051,0.7194138681000305,0.0285450075515267,0.1660430217101607,0.0052865223611442,0.130336611353887,0.001027841706567,0.0910738657374629,0.0039042628152596,0.0313376444695514,0.0004809290454781,0.0233838374044851,0.0015425337647836,0.1151789302066596,0.0014181787326523,0.0772005322885139,0.0030714943842587,0.1157897077463286,0.0014753028941694,0.078813453962585,0.003200793686438,0.1595165051451666,0.0034628585852073,0.1283528196958633,0.0026194686122736,3744136825717568.0,
0.25,alpaca_mmlu,0.9999999999999222,0.0,0.0,0.0,6376.0,0.0,0.0,0.0,6376.0,0.0,6376.0,0.0,1.5289499362309773,0.0003301566813339,1.5289499362309773,0.0003301566813339,,,,,,,,,,,,,,,,,,,,,182890.192455039,7295.831243999799,342244.96873606567,12547.203281165475,614.6443443333334,3.0882300931301594,1640.316572,101.09485723399035,0.0670753767858949,0.0005908824091943,0.0540515376862304,0.0011102528907862,1.7730780748416624,0.01967630388715,1.5079845173354842,0.0080220248322872,0.2925786286254846,0.0005917713380172,0.2820240613423563,0.0010976871290007,0.113255490877101,0.001077694830076,0.1064234268438851,0.0020801676058711,0.2203779471812405,0.0011826908582361,0.2073737719381488,0.0014892062676233,0.2406291777079003,0.0013445195458656,0.2318172747990355,0.0017693955884764,0.2883843538065018,0.0012198283600503,0.2672488404661839,0.0009778512290187,3.977994634730378e+16,
0.25,arc_challenge,7.999999999999974,0.0,0.0,0.0,560.0,0.0,0.0,0.0,560.0,0.0,560.0,0.0,0.7290690541267395,0.0,0.4476180374622345,0.0,0.2642140468227424,0.0,0.1872909698996655,0.0,,,,,,,,,,,,,,,,,9201.153627470332,169.44853600142036,13152.302917357332,503.7387082341808,35.598188666666665,0.2865574985317558,56.86846933333334,5.8571780334641925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247514529884416.0,
0.25,arc_easy,1.000000000000001,0.0,0.0,0.0,141.0,0.0,0.0,0.0,141.0,0.0,141.0,0.0,0.5603389739990234,0.0,0.5603389739990234,0.0,0.2473684210526315,0.0,0.231578947368421,0.0,,,,,,,,,,,,,,,,,2026.728484340667,43.12601038892039,3351.303457196333,173.87439544120727,7.863939666666667,0.148386370705369,15.443398,2.0084754695774443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950533837133664.0,
0.25,boolq,2.999999999999861,0.0,0.0,0.0,3537.0,0.0,0.0,0.0,3537.0,0.0,3537.0,0.0,0.2687149941921233,0.001565661037906,0.1660985251267751,0.0018220465183636,0.6512742099898063,0.000203873598369,0.6186544342507645,0.0,0.6848429185329327,0.000196922041678,0.6243670886075949,0.0,0.970486965076242,0.0,0.8134120347597967,0.0006558452205279,0.7598690544964376,0.0,0.7391821396138963,0.0009052104621754,0.2187221500093041,0.0004681829405569,0.0293381270235792,0.0,62680.67891850867,2072.30570017546,100439.66475470434,7396.013515337363,249.619734,3.2405351071936157,470.9506586666666,79.24053774094538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9065628493292736e+16,
0.25,glue_cola,3.0000000000000324,0.0,0.0,0.0,1605.0,0.0,0.0,0.0,,,,,0.1999982893466948,0.0,0.137888565659523,0.0,0.7603068072866731,0.0,0.6001917545541706,0.0,0.751334044823906,0.0,0.6849148418491483,0.0,0.9791955617198336,0.0,0.7808599167822469,0.0,0.8492159227985526,0.0,0.729747245625405,0.0,0.3865296474948357,0.0,-0.0265526507918896,0.0,20883.993884342333,577.2232853589892,30322.732867798,472.7262345200448,71.66793766666666,1.4119577192189938,104.233556,4.661610049460731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3942466086100128.0,
0.25,glue_mnli_matched,0.9999999999997308,0.0,0.0,0.0,24544.0,0.0,0.0,0.0,,,,,0.1253988643487294,0.0035871329319082,0.1253988643487294,0.0035871329319082,0.8345050093394465,0.0002449007488853,0.3496688741721854,0.0,,,,,,,,,,,,,,,,,987827.614781421,16780.9314766953,1444977.2660428418,38792.71829897485,1902.454192,10.526677761521915,3472.11979,351.81592693792084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7678530516918563e+17,
0.25,glue_mnli_mismatched,0.9999999999997308,0.0,0.0,0.0,24544.0,0.0,0.0,0.0,,,,,0.1253988643487294,0.0035871329319082,0.1253988643487294,0.0035871329319082,0.8415717385408191,0.0003234130734394,0.3331977217249796,0.0,,,,,,,,,,,,,,,,,987827.614781421,16780.9314766953,1444977.2660428418,38792.71829897491,1902.454192,10.526677761521915,3472.11979,351.81592693792084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7678530516918563e+17,
0.25,glue_mrpc,9.99999999999974,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,,,,,0.270377367734909,0.0,0.1443276554346084,0.0,0.7009803921568626,0.0,0.3848039215686274,0.0,0.7162534435261708,0.0,0.6111111111111112,0.0,0.967741935483871,0.0,0.2759856630824372,0.0,0.8134556574923547,0.0,0.3802469135802469,0.0,0.1980870391041954,0.0,-0.1045279693589734,0.0,70665.39298409766,1272.733503978886,91207.20186772768,1125.700849175526,241.033515,1.4890561865360723,314.740183,10.25851477209244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.474203637835392e+16,
