nlayer,dataset,epoch_max_mean,epoch_max_sem,epoch_min_mean,epoch_min_sem,global_step_max_mean,global_step_max_sem,global_step_min_mean,global_step_min_sem,num_train_steps_max_mean,num_train_steps_max_sem,num_train_steps_min_mean,num_train_steps_min_sem,train_loss_max_mean,train_loss_max_sem,train_loss_min_mean,train_loss_min_sem,OneHotClassificationMetrics_accuracy_max_mean,OneHotClassificationMetrics_accuracy_max_sem,OneHotClassificationMetrics_accuracy_min_mean,OneHotClassificationMetrics_accuracy_min_sem,OneHotClassificationMetrics_precision_max_mean,OneHotClassificationMetrics_precision_max_sem,OneHotClassificationMetrics_precision_min_mean,OneHotClassificationMetrics_precision_min_sem,OneHotClassificationMetrics_recall_max_mean,OneHotClassificationMetrics_recall_max_sem,OneHotClassificationMetrics_recall_min_mean,OneHotClassificationMetrics_recall_min_sem,OneHotClassificationMetrics_f1_score_max_mean,OneHotClassificationMetrics_f1_score_max_sem,OneHotClassificationMetrics_f1_score_min_mean,OneHotClassificationMetrics_f1_score_min_sem,OneHotClassificationMetrics_mcc_max_mean,OneHotClassificationMetrics_mcc_max_sem,OneHotClassificationMetrics_mcc_min_mean,OneHotClassificationMetrics_mcc_min_sem,train_energy_mean,train_energy_sem,total_energy_mean,total_energy_sem,train_time_mean,train_time_sem,total_time_mean,total_time_sem,total_flops_mean,total_flops_sem,BleuScore_bleu_max_mean,BleuScore_bleu_max_sem,BleuScore_bleu_min_mean,BleuScore_bleu_min_sem,NistScore_nist_max_mean,NistScore_nist_max_sem,NistScore_nist_min_mean,NistScore_nist_min_sem,RougeScore_rouge1_max_mean,RougeScore_rouge1_max_sem,RougeScore_rouge1_min_mean,RougeScore_rouge1_min_sem,RougeScore_rouge2_max_mean,RougeScore_rouge2_max_sem,RougeScore_rouge2_min_mean,RougeScore_rouge2_min_sem,RougeScore_rougeL_max_mean,RougeScore_rougeL_max_sem,RougeScore_rougeL_min_mean,RougeScore_rougeL_min_sem,RougeScore_rougeLsum_max_mean,RougeScore_rougeLsum_max_sem,RougeScore_rougeLsum_min_mean,RougeScore_rougeLsum_min_sem,MeteorScore_meteor_max_mean,MeteorScore_meteor_max_sem,MeteorScore_meteor_min_mean,MeteorScore_meteor_min_sem,current_output_max_mean,current_output_max_sem,current_output_min_mean,current_output_min_sem
1,allenai_task219_rocstories_title_answer_generation,3.0000000000000893,0.0,0.0,0.0,2190.0,0.0,0.0,0.0,2190.0,0.0,2190.0,0.0,1.4131553967793782,0.010448234798875574,0.9619437456130981,0.008942389640336862,,,,,,,,,,,,,,,,,,,,,17217.388949135333,268.4467021667059,66706.17452949799,2647.83505064264,64.19569066666666,2.6142163353974954,674.7717023333333,102.7998393213182,7198749497897088.0,,7.839973841191449e-05,1.952651821697731e-05,0.0,0.0,0.2101148413831906,0.017740534049758915,0.019028062987139934,0.00015779160086506,0.1111271354156055,0.002008190761616926,0.0347434239943717,0.00023583201924091464,0.024294411231737232,0.0014518399797918695,0.007203831406229833,8.220779325471874e-05,0.11054985426912285,0.0019053996849295533,0.033146554105277864,0.00021396403534139214,0.11043464562334089,0.0018594338928896847,0.03385958455544436,0.0002700821300467316,0.11447506759345023,0.0037862802289774606,0.07935428945218033,0.0006423399390259383,,,,
1,allenai_task288_gigaword_summarization,5.000000000000068,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,1080.0,0.0,1080.0,0.0,3.211408853530884,0.0059382921256191205,1.9825300772984822,0.013276538796832918,,,,,,,,,,,,,,,,,,,,,7373.241464996,107.91192448391294,25435.379129109002,1210.5212275164397,30.948282000000003,0.9357741882876089,283.54004633333335,19.257619766047455,2972373780333200.0,,0.0151955329305132,0.0029797747745572726,0.0009405669089444666,0.0003818466438600574,0.7249091603852967,0.02675695186901492,0.16018724889782202,0.0009596840758181555,0.1116512894065367,0.0009000348612336731,0.08718867878588331,0.0008670247469549236,0.025551251832557065,0.00020640159845879507,0.021293077157356535,0.00021460427771104236,0.10025674617286197,0.0006852208547152075,0.07459094291437733,0.0010305701842353268,0.10051380059840337,0.0006865942570732568,0.07722502642826418,0.0006680609164068202,0.1401544161611862,0.002282806194578217,0.09431789432853772,0.005775173663924903,,,,
1,alpaca_mmlu,0.9999999999999222,0.0,0.0,0.0,6376.0,0.0,0.0,0.0,6376.0,0.0,6376.0,0.0,1.530414303143819,0.01507756067856425,1.530414303143819,0.01507756067856425,,,,,,,,,,,,,,,,,,,,,157028.50464760567,1437.0440400501261,264198.97772798996,580.3547588724559,551.3791006666667,4.05673892282297,1357.3285106666665,7.856056871538548,3.135581957920067e+16,,0.06607880663974797,0.0007089727207421063,0.05378351079723196,0.0004288230789850357,1.7494053120730158,0.031840428060680805,1.5095646651187717,0.0007573886277899945,0.2893675707918188,0.002205516676542882,0.2857250764125841,0.002007599488900008,0.10936835514285743,0.00108461357562574,0.10725631338695663,0.0008182208019690398,0.2178676913316797,0.0017780178189116904,0.21055660733878379,0.0016346038845577305,0.2370569151745191,0.001712233453334657,0.2351762017916533,0.0014799827184680278,0.28853505283541353,0.0009932384656985505,0.25416387064687124,0.001871811866652302,,,,
1,arc_challenge,7.999999999999974,0.0,0.0,0.0,560.0,0.0,0.0,0.0,560.0,0.0,560.0,0.0,0.621297279993693,0.05624622781517587,0.43864572048187256,0.0006608928588611795,0.269788182831661,0.00401956663931325,0.1872909698996655,0.0,,,,,,,,,,,,,,,,,7450.837398831333,122.15889083888165,10190.788725621334,176.70235244782444,29.587504,0.4963085489158932,39.74830133333333,1.2385740734713617,3345331792534528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,arc_easy,1.000000000000001,0.0,0.0,0.0,141.0,0.0,0.0,0.0,141.0,0.0,141.0,0.0,0.47788307070732117,0.027723042111932484,0.47788307070732117,0.027723042111932484,0.2473684210526315,0.0,0.2228070175438596,0.005639561848533895,,,,,,,,,,,,,,,,,1626.1729952530002,23.412217338746775,2685.0009362066667,164.39428688693434,6.749168999999999,0.04316382009661906,12.090159666666667,1.6988947495810653,750491406566304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,boolq,2.999999999999861,0.0,0.0,0.0,3537.0,0.0,0.0,0.0,3537.0,0.0,3537.0,0.0,0.25406128168106074,0.00948598705654357,0.189494714140892,0.004821903521364583,0.6214067278287462,0.0017026802332813608,0.6132517838939857,0.002157595360705098,0.6676788254736676,0.0021389902488990454,0.6243670886075949,0.0,0.9704869650762419,0.0,0.7655353336612559,0.012186197196958203,0.7598690544964376,0.0,0.7131735149544931,0.005518498018858532,0.14948311647634674,0.007501371447540268,0.0293381270235792,0.0,51335.30697707733,488.90946227909,75339.31209546434,653.202647236853,205.262773,2.199380692450115,292.93956333333335,3.931977121732025,2.291699371231853e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,glue_cola,3.0000000000000324,0.0,0.0,0.0,1605.0,0.0,0.0,0.0,,,,,0.1953387906153997,0.011528550478397133,0.15441944201787308,0.004626803453606988,0.7139661233620965,0.0016911162103320824,0.6001917545541706,0.0,0.7099614432390352,0.0021994464540064343,0.6849148418491483,0.0,0.9958391123439667,0.0008007632027595361,0.7808599167822469,0.0,0.8273227090115145,0.0004319549282353837,0.729747245625405,0.0,0.21330619910034476,0.006288284392217032,-0.026552650791889603,0.0,16831.288722097666,274.3547905370919,20867.886092361663,99.65557913116268,63.021414666666665,0.9989516328985987,74.23318933333333,0.03151901386641784,3138934114899744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,glue_mnli_matched,0.9999999999997308,0.0,0.0,0.0,24544.0,0.0,0.0,0.0,,,,,0.254808376232783,0.014944046689537431,0.254808376232783,0.014944046689537431,0.5709967736457803,0.0038681975933091348,0.3496688741721854,0.0,,,,,,,,,,,,,,,,,563888.4874033836,9201.871079908635,735885.1436912273,8999.907706048987,1698.3614853333336,9.643410736586132,1984.7136333333335,58.0250159044409,1.3732659850870774e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,glue_mnli_mismatched,0.9999999999997308,0.0,0.0,0.0,24544.0,0.0,0.0,0.0,,,,,0.254808376232783,0.014944046689537431,0.254808376232783,0.014944046689537431,0.5763493355031191,0.0060941350613533665,0.3331977217249796,0.0,,,,,,,,,,,,,,,,,563888.4874033836,9201.871079908635,735885.1436912273,8999.907706048987,1698.3614853333336,9.643410736586132,1984.7136333333335,58.0250159044409,1.3732659850870774e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,glue_mrpc,9.99999999999974,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,,,,,0.279819518327713,0.010817834174876374,0.12428765495618181,0.009652036839228155,0.7001633986928105,0.001633986928104611,0.3848039215686274,0.0,0.7333047333047333,0.005523360855041027,0.6111111111111112,0.0,0.9737156511350059,0.003160993203183465,0.2759856630824372,0.0,0.8129136981256057,0.0017386840119949832,0.3802469135802469,0.0,0.21206046391836741,0.014885445629460467,-0.1045279693589734,0.0,57457.12936775133,262.1216798374877,65891.32577122499,420.2513331964918,204.589194,1.531286734440792,226.52274233333333,0.4586047093392157,1.159805148094336e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
