savings,dataset,epoch_max_mean,epoch_max_sem,epoch_min_mean,epoch_min_sem,global_step_max_mean,global_step_max_sem,global_step_min_mean,global_step_min_sem,num_train_steps_max_mean,num_train_steps_max_sem,num_train_steps_min_mean,num_train_steps_min_sem,train_loss_max_mean,train_loss_max_sem,train_loss_min_mean,train_loss_min_sem,OneHotClassificationMetrics_accuracy_max_mean,OneHotClassificationMetrics_accuracy_max_sem,OneHotClassificationMetrics_accuracy_min_mean,OneHotClassificationMetrics_accuracy_min_sem,OneHotClassificationMetrics_precision_max_mean,OneHotClassificationMetrics_precision_max_sem,OneHotClassificationMetrics_precision_min_mean,OneHotClassificationMetrics_precision_min_sem,OneHotClassificationMetrics_recall_max_mean,OneHotClassificationMetrics_recall_max_sem,OneHotClassificationMetrics_recall_min_mean,OneHotClassificationMetrics_recall_min_sem,OneHotClassificationMetrics_f1_score_max_mean,OneHotClassificationMetrics_f1_score_max_sem,OneHotClassificationMetrics_f1_score_min_mean,OneHotClassificationMetrics_f1_score_min_sem,OneHotClassificationMetrics_mcc_max_mean,OneHotClassificationMetrics_mcc_max_sem,OneHotClassificationMetrics_mcc_min_mean,OneHotClassificationMetrics_mcc_min_sem,train_energy_mean,train_energy_sem,total_energy_mean,total_energy_sem,train_time_mean,train_time_sem,total_time_mean,total_time_sem,total_flops_mean,total_flops_sem,BleuScore_bleu_max_mean,BleuScore_bleu_max_sem,BleuScore_bleu_min_mean,BleuScore_bleu_min_sem,NistScore_nist_max_mean,NistScore_nist_max_sem,NistScore_nist_min_mean,NistScore_nist_min_sem,RougeScore_rouge1_max_mean,RougeScore_rouge1_max_sem,RougeScore_rouge1_min_mean,RougeScore_rouge1_min_sem,RougeScore_rouge2_max_mean,RougeScore_rouge2_max_sem,RougeScore_rouge2_min_mean,RougeScore_rouge2_min_sem,RougeScore_rougeL_max_mean,RougeScore_rougeL_max_sem,RougeScore_rougeL_min_mean,RougeScore_rougeL_min_sem,RougeScore_rougeLsum_max_mean,RougeScore_rougeLsum_max_sem,RougeScore_rougeLsum_min_mean,RougeScore_rougeLsum_min_sem,MeteorScore_meteor_max_mean,MeteorScore_meteor_max_sem,MeteorScore_meteor_min_mean,MeteorScore_meteor_min_sem
0.25,allenai_task219_rocstories_title_answer_generation,2.9999999999999383,0.0,0.0,0.0,2202.0,0.0,0.0,0.0,2202.0,0.0,2202.0,0.0,0.9362637003262838,0.02307050646653433,0.026476866876085536,0.003237116016182146,,,,,,,,,,,,,,,,,,,,,38854.01330663167,538.5469276403954,81993.48091412,3388.886027766048,167.8295906666667,2.1507154536969297,753.9846223333334,8.716435112059997,1.0538842216333056e+16,,0.0085800896584866,0.002024922410923956,0.0,0.0,0.13761386179229498,0.029314286061698072,0.020796958646517132,0.00025262224751871774,0.23077361733274313,0.0037572544658654398,0.03563949674193046,0.0005053375561372086,0.0735821829589786,0.0009019846252056719,0.007883386084575,0.00016440984393968866,0.22936017688447574,0.0035581953892735827,0.03431951893564193,0.0005927476493619573,0.22961519362603278,0.0034895336680636625,0.0348674429612727,0.0005028799587782533,0.2308711745523366,0.0018388412987657861,0.08152922576972807,0.0005322417130924741
0.25,allenai_task288_gigaword_summarization,4.999999999999924,0.0,0.0,0.0,1090.0,0.0,0.0,0.0,1090.0,0.0,1090.0,0.0,1.6495679219563801,0.010814193820826627,0.0317190854499737,0.015888315074596863,,,,,,,,,,,,,,,,,,,,,15615.566547046,359.9971445194694,37041.97066387234,2857.003917299336,83.21390866666667,0.4864322704085096,462.910829,47.99285034782244,4329494731859280.0,,0.0449745390349375,0.002148066240236551,0.0012510483375801334,0.0003292870596925473,1.2766259658362855,0.02366423116045439,0.1743231164843373,0.003830027830687277,0.20300814756521976,0.0020952122814109774,0.09210662890527803,0.0025484113498442976,0.06662650936756599,0.0007359230378790226,0.023318982709053332,0.0012215531039123093,0.18212498453125628,0.002274176453784208,0.08053349040550813,0.0019369006977830972,0.18209146057647843,0.0021366803536321506,0.08166390155648723,0.0024260323870454042,0.21060747800760957,0.002014466577334483,0.15177148023273013,0.0036022672234389116
0.25,alpaca_mmlu,0.9999999999999222,0.0,0.0,0.0,6376.0,0.0,0.0,0.0,6376.0,0.0,6376.0,0.0,1.3591994841893513,0.003821188751264368,1.3591994841893513,0.003821188751264368,,,,,,,,,,,,,,,,,,,,,290213.5774941133,14100.48932861092,467362.4749670007,22381.717134506598,1101.8880063333334,5.950110639543655,2590.0000086666664,216.24868374503293,4.567531858459139e+16,,0.10805760433667037,0.0017962960129716823,0.054440278998909436,0.00019366336816723146,2.1071286972179633,0.009365861107698503,1.5074892959988528,0.010025639112505895,0.34261462153054034,0.002253224174383194,0.2835711724475363,0.0002527461106029282,0.1477410194442018,0.002202697766476154,0.1058594956726638,0.0004392769822664723,0.26765258131133646,0.002575983231056296,0.20916076903465808,0.000347857166086134,0.28676948944929886,0.0023007275967215986,0.2336093668299898,0.0002838770982534903,0.33082780165394193,0.00310523832883529,0.28648807549044425,0.00020585303639692858
0.25,arc_challenge,7.999999999999974,0.0,0.0,0.0,560.0,0.0,0.0,0.0,560.0,0.0,560.0,0.0,0.47107116381327313,0.0021644198908870034,0.01763539163706197,0.014472077722557902,0.41583054626532884,0.01741415758284649,0.1872909698996655,0.0,,,,,,,,,,,,,,,,,13497.657008701999,829.1195851973157,20741.95845655567,3430.5679494435512,59.112162000000005,0.38893558346509316,121.63274066666668,52.22789825778542,4842121872698368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,arc_easy,1.000000000000001,0.0,0.0,0.0,141.0,0.0,0.0,0.0,141.0,0.0,141.0,0.0,0.29602477451165515,0.0434336514077866,0.29602477451165515,0.0434336514077866,0.6631578947368421,0.007647191129018701,0.2473684210526315,0.0,,,,,,,,,,,,,,,,,2884.812850606333,316.6261916577019,6120.490405851,1885.4473531820745,13.837191333333335,0.14508547714173364,48.138467,29.835352175244548,1084746034536864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,boolq,2.999999999999861,0.0,0.0,0.0,3537.0,0.0,0.0,0.0,3537.0,0.0,3537.0,0.0,0.13816346228122708,0.008655025526197915,0.0018703275709412669,0.0007867714165728937,0.8321100917431193,0.002757950919157728,0.6186544342507645,0.0,0.9089630910182439,0.003980385776612993,0.6243670886075949,0.0,0.9704869650762419,0.0,0.7830791933103788,0.009074336187585973,0.8639078071114635,0.0008163671471177869,0.7598690544964376,0.0,0.6550108540714145,0.008533065673478285,0.0293381270235792,0.0,96134.88992160534,3068.8255167246384,141085.33258739568,14182.277737681645,409.3510273333333,1.8533706168771036,700.7807426666667,192.84050584572634,3.3344312696199744e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,glue_cola,3.0000000000000324,0.0,0.0,0.0,1605.0,0.0,0.0,0.0,,,,,0.15033425142367676,0.04435324353183029,0.06314343462387717,0.01089604684751766,0.8271013103227869,0.0051433291592940505,0.6001917545541706,0.0,0.8326091345546845,0.01078457812164925,0.6849148418491483,0.0,0.94960702727693,0.0018492834026814554,0.7808599167822469,0.0,0.8825515312722367,0.0024570465516488564,0.729747245625405,0.0,0.5756615239989081,0.01460006949442494,-0.026552650791889603,0.0,32053.795775792667,861.269765613748,39611.63899246333,2082.359803539197,142.782299,1.605614854077509,179.65683566666667,23.971078035335797,4567093448392608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,glue_mnli_matched,0.9999999999997308,0.0,0.0,0.0,24544.0,0.0,0.0,0.0,,,,,0.11667574693759276,0.004065823693913669,0.11667574693759276,0.004065823693913669,0.8729156053659365,0.0016599557697198019,0.3496688741721854,0.0,,,,,,,,,,,,,,,,,1293587.4898353468,14351.872530182409,1392001.0154758634,15029.471951774756,4776.604310666667,21.336083523312976,5059.872600333333,142.79869865315715,2.0019929212309174e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,glue_mnli_mismatched,0.9999999999997308,0.0,0.0,0.0,24544.0,0.0,0.0,0.0,,,,,0.11667574693759276,0.004065823693913669,0.11667574693759276,0.004065823693913669,0.8773732031461893,0.0018903718279699483,0.3331977217249796,0.0,,,,,,,,,,,,,,,,,1293587.4898353468,14351.872530182409,1392001.0154758634,15029.471951774756,4776.604310666667,21.336083523312976,5059.872600333333,142.79869865315715,2.0019929212309174e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,glue_mrpc,9.99999999999974,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,,,,,0.18002087374528244,0.02624853810230414,0.00044102116468513336,0.0001699268139000025,0.8586601307189543,0.003561191947337192,0.3848039215686274,0.0,0.9302983558638998,0.01475809642826661,0.6111111111111112,0.0,0.974910394265233,0.008277423214188244,0.2759856630824372,0.0,0.8995480418832796,0.001691788916946558,0.3802469135802469,0.0,0.6663003302910145,0.01119867845777874,-0.1045279693589734,0.0,111268.51859556466,2183.80680864301,126282.90241969466,2805.5017600882097,409.99173766666667,1.780903792105056,465.0266596666667,28.395012998943336,1.6871758392293632e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
