epoch,global_step,learning_rate,timestamp,train_loss
0.0,0,0.001,2025-07-12 17-43-10.553970,11.660971641540527
0.001,1,0.001,2025-07-12 17-43-10.603346,11.317418098449707
0.002,2,0.001,2025-07-12 17-43-10.643941,11.63875675201416
0.003,3,0.001,2025-07-12 17-43-10.689839,11.29522705078125
0.004,4,0.001,2025-07-12 17-43-10.742692,11.563465118408203
0.005,5,0.001,2025-07-12 17-43-10.787332,11.60489273071289
0.006,6,0.001,2025-07-12 17-43-10.833340,11.267657279968262
0.007,7,0.001,2025-07-12 17-43-10.864638,12.160929679870605
0.008,8,0.001,2025-07-12 17-43-10.902305,11.601195335388184
0.009000000000000001,9,0.001,2025-07-12 17-43-10.942410,11.596085548400879
0.010000000000000002,10,0.001,2025-07-12 17-43-10.989683,11.599384307861328
0.011000000000000003,11,0.001,2025-07-12 17-43-11.029987,11.586237907409668
0.012000000000000004,12,0.001,2025-07-12 17-43-11.064225,11.821793556213379
0.013000000000000005,13,0.001,2025-07-12 17-43-11.113889,11.543647766113281
0.014000000000000005,14,0.001,2025-07-12 17-43-11.161552,11.55597972869873
0.015000000000000006,15,0.001,2025-07-12 17-43-11.195020,11.479327201843262
0.016000000000000007,16,0.001,2025-07-12 17-43-11.235827,11.534955024719238
0.017000000000000008,17,0.001,2025-07-12 17-43-11.282650,11.472376823425293
0.01800000000000001,18,0.001,2025-07-12 17-43-11.323622,11.518206596374512
0.01900000000000001,19,0.001,2025-07-12 17-43-11.374622,11.458430290222168
0.02000000000000001,20,0.001,2025-07-12 17-43-11.422085,11.44019603729248
0.02100000000000001,21,0.001,2025-07-12 17-43-11.456455,11.745696067810059
0.022000000000000013,22,0.001,2025-07-12 17-43-11.498021,11.481407165527344
0.023000000000000013,23,0.001,2025-07-12 17-43-11.538795,11.445236206054688
0.024000000000000014,24,0.001,2025-07-12 17-43-11.572521,11.724167823791504
0.025000000000000015,25,0.001,2025-07-12 17-43-11.614272,11.422863960266113
0.026000000000000016,26,0.001,2025-07-12 17-43-11.664182,11.165043830871582
0.027000000000000017,27,0.001,2025-07-12 17-43-11.707997,11.444877624511719
0.028000000000000018,28,0.001,2025-07-12 17-43-11.753073,11.39898681640625
0.02900000000000002,29,0.001,2025-07-12 17-43-11.788213,11.676384925842285
0.03000000000000002,30,0.001,2025-07-12 17-43-11.820487,11.675250053405762
0.03100000000000002,31,0.001,2025-07-12 17-43-11.852265,11.351223945617676
0.03200000000000002,32,0.001,2025-07-12 17-43-11.884688,11.66455078125
0.03300000000000002,33,0.001,2025-07-12 17-43-11.922665,11.349884986877441
0.03400000000000002,34,0.001,2025-07-12 17-43-11.953788,11.984601020812988
0.035000000000000024,35,0.001,2025-07-12 17-43-11.998464,11.342529296875
0.036000000000000025,36,0.001,2025-07-12 17-43-12.031847,11.318087577819824
0.037000000000000026,37,0.001,2025-07-12 17-43-12.072258,11.318079948425293
0.03800000000000003,38,0.001,2025-07-12 17-43-12.109513,11.289511680603027
0.03900000000000003,39,0.001,2025-07-12 17-43-12.157555,11.327298164367676
0.04000000000000003,40,0.001,2025-07-12 17-43-12.204361,11.281990051269531
0.04100000000000003,41,0.001,2025-07-12 17-43-12.255919,11.336031913757324
0.04200000000000003,42,0.001,2025-07-12 17-43-12.308451,11.262580871582031
0.04300000000000003,43,0.001,2025-07-12 17-43-12.359857,11.300557136535645
0.04400000000000003,44,0.001,2025-07-12 17-43-12.403296,11.243412971496582
0.04500000000000003,45,0.001,2025-07-12 17-43-12.441678,11.521403312683105
0.046000000000000034,46,0.001,2025-07-12 17-43-12.492847,11.281959533691406
0.047000000000000035,47,0.001,2025-07-12 17-43-12.537109,11.497821807861328
0.048000000000000036,48,0.001,2025-07-12 17-43-12.617835,11.216822624206543
0.04900000000000004,49,0.001,2025-07-12 17-43-12.663616,11.23535442352295
0.05000000000000004,50,0.001,2025-07-12 17-43-12.708261,11.470824241638184
0.05100000000000004,51,0.001,2025-07-12 17-43-12.774688,11.241435050964355
0.05200000000000004,52,0.001,2025-07-12 17-43-12.827755,11.250178337097168
0.05300000000000004,53,0.001,2025-07-12 17-43-12.871866,11.233352661132812
0.05400000000000004,54,0.001,2025-07-12 17-43-12.912970,11.167813301086426
0.05500000000000004,55,0.001,2025-07-12 17-43-12.959719,11.197310447692871
0.05600000000000004,56,0.001,2025-07-12 17-43-13.003662,11.222285270690918
0.057000000000000044,57,0.001,2025-07-12 17-43-13.045445,11.205313682556152
0.058000000000000045,58,0.001,2025-07-12 17-43-13.088753,11.108086585998535
0.059000000000000045,59,0.001,2025-07-12 17-43-13.121652,11.405285835266113
0.060000000000000046,60,0.001,2025-07-12 17-43-13.157915,11.0925931930542
