forward_joules,forward_energy_mean,forward_time,forward_nvidia_time_mean,forward_memory,forward_nvidia_memory_mean,forward_flops,forward_backward_joules,forward_backward_energy_mean,forward_backward_time,forward_backward_nvidia_time_mean,forward_backward_memory,forward_backward_nvidia_memory_mean,forward_backward_flops,forward_backward_optimizer_joules,forward_backward_optimizer_energy_mean,forward_backward_optimizer_time,forward_backward_optimizer_nvidia_time_mean,forward_backward_optimizer_memory,forward_backward_optimizer_nvidia_memory_mean,forward_backward_optimizer_flops,num_trainable_parameters,model_name,input_length,batch_size,repetition,rank
1247.87983,1247.87983,3.857,3.857,3809.0,3809.0,3663656401920.0,3078.90659,3078.90659,11.543,11.543,9853.0,9853.0,7326049254400.0,3127.66859,3127.66859,11.691,11.691,9859.0,9859.0,7326049254400.0,3145728,FacebookAI/roberta-large,256,20,0,16
1242.58557,1242.58557,3.855,3.855,3815.0,3815.0,3695868656640.0,3057.72309,3057.72309,11.381,11.381,9879.0,9879.0,7422182702080.0,3142.54689,3142.54689,11.592,11.592,9893.0,9893.0,7422182702080.0,6291456,FacebookAI/roberta-large,256,20,0,32
1251.31017,1251.31017,3.888,3.888,3827.0,3827.0,3760293166080.0,3097.01564,3097.01564,11.739,11.739,9935.0,9935.0,7614449597440.0,3189.92718,3189.92718,11.742,11.742,9963.0,9963.0,7614449597440.0,12582912,FacebookAI/roberta-large,256,20,0,64
1271.10884,1271.10884,3.974,3.974,3851.0,3851.0,3889142184960.0,3143.48803,3143.48803,11.663,11.663,10033.0,10033.0,7998983388160.0,3246.79091,3246.79091,12.045,12.045,10167.0,10167.0,7998983388160.0,25165824,FacebookAI/roberta-large,256,20,0,128
1308.06548,1308.06548,3.999,3.999,3881.0,3881.0,4017991203840.0,3163.1156,3163.1156,11.189,11.189,10189.0,10189.0,8383517178880.0,3336.3220300000003,3336.3220300000003,11.719,11.719,10413.0,10413.0,8383517178880.0,37748736,FacebookAI/roberta-large,256,20,0,192
1303.40392,1303.40392,4.066,4.066,3899.0,3899.0,4146840222720.0,3193.28918,3193.28918,10.827,10.827,10259.0,10259.0,8768050969600.0,3361.2956,3361.2956,12.077,12.077,10539.0,10539.0,8768050969600.0,50331648,FacebookAI/roberta-large,256,20,0,256
1342.00264,1342.00264,4.201,4.201,3931.0,3931.0,4275689241600.0,3335.36536,3335.36536,11.67,11.67,10459.0,10459.0,9152584760320.0,3449.42177,3449.42177,11.231,11.231,10835.0,10835.0,9152584760320.0,62914560,FacebookAI/roberta-large,256,20,0,320
1354.7759,1354.7759,4.11,4.11,3995.0,3995.0,4404538260480.0,3338.98221,3338.98221,11.702,11.702,9657.0,9657.0,9537118551040.0,3521.53596,3521.53596,11.708,11.708,10233.0,10233.0,9537118551040.0,75497472,FacebookAI/roberta-large,256,20,0,384
1366.26991,1366.26991,4.257,4.257,3995.0,3995.0,4533387279360.0,3389.31998,3389.31998,11.547,11.547,10667.0,10667.0,9921652341760.0,3673.97835,3673.97835,11.747,11.747,11235.0,11235.0,9921652341760.0,88080384,FacebookAI/roberta-large,256,20,0,448
1389.41449,1389.41449,4.274,4.274,3995.0,3995.0,4662236298240.0,3450.26896,3450.26896,11.773,11.773,10689.0,10688.982917820867,10306186132480.0,3678.88512,3678.88512,11.741,11.741,11259.0,11259.0,10306186132480.0,100663296,FacebookAI/roberta-large,256,20,0,512
