forward_joules,forward_time,forward_flops,forward_backward_optimizer_joules,forward_backward_optimizer_time,forward_backward_optimizer_flops,forward_backward_joules,forward_backward_time,forward_backward_flops,num_trainable_parameters,model_name,input_length,batch_size,rank,rep
1359.59576,4.316,5069726732288,3216.70163,10.528,10119215894528,3169.43608,10.449,10119215894528,1409024,meta-llama/Llama-3.2-1B,256,8,2,0
1376.0308,4.223,5066841051136,3173.81795,10.168,10110584016896,3101.63327,10.09,10110584016896,704512,meta-llama/Llama-3.2-1B,256,8,1,0
598.62875,1.925,2531205991424,2784.66797,10.431,7593922352128,2043.31105,7.15,7593922352128,1235814400,meta-llama/Llama-3.2-1B,256,4,-1,0
892.88698,2.956,4009446493184,2987.97996,10.833,9470497475584,2236.40608,8.034,9470497475584,721420288,meta-llama/Llama-3.2-1B,256,4,1024,0
778.85383,2.625,3270712118272,2381.75369,9.919,7260736801792,2009.88644,8.177,7260736801792,360710144,meta-llama/Llama-3.2-1B,256,4,512,0
743.14029,2.522,2901344930816,2075.51915,9.575,6155856464896,1860.73899,7.819,6155856464896,180355072,meta-llama/Llama-3.2-1B,256,4,256,0
706.03018,2.474,2716661337088,1953.77505,9.571,5603416296448,1814.56237,8.263,5603416296448,90177536,meta-llama/Llama-3.2-1B,256,4,128,0
690.20678,2.55,2624319540224,1917.23093,9.766,5327196212224,1778.32232,8.244,5327196212224,45088768,meta-llama/Llama-3.2-1B,256,4,64,0
701.31601,2.523,2578148641792,1917.76754,9.778,5189086170112,1725.99747,7.861,5189086170112,22544384,meta-llama/Llama-3.2-1B,256,4,32,0
697.27156,2.486,2555063192576,1913.9755,9.643,5120031149056,1800.75211,8.447,5120031149056,11272192,meta-llama/Llama-3.2-1B,256,4,16,0
684.49774,2.476,2543520467968,1869.84598,9.712,5085503638528,1780.14583,8.278,5085503638528,5636096,meta-llama/Llama-3.2-1B,256,4,8,0
709.5106,2.545,2537749105664,1895.18758,9.863,5068239883264,1816.37454,8.397,5068239883264,2818048,meta-llama/Llama-3.2-1B,256,4,4,0
703.96723,2.535,2534863424512,1902.05598,9.892,5059608005632,1825.58443,8.424,5059608005632,1409024,meta-llama/Llama-3.2-1B,256,4,2,0
685.55374,2.427,2533420583936,1875.03628,9.569,5055292066816,1749.93956,8.185,5055292066816,704512,meta-llama/Llama-3.2-1B,256,4,1,0
777.35457,2.649,2904350011392,2939.64543,9.048,8712690439168,2430.4615,8.125,8712690439168,355412057,FacebookAI/roberta-large,256,16,-1,0
1095.44889,3.862,4554422759424,3015.96149,9.876,10705965166592,2640.45387,9.191,10705965166592,201326592,FacebookAI/roberta-large,256,16,1024,0
966.87794,3.434,3729789038592,2617.49379,8.978,8244948905984,2373.46494,8.449,8244948905984,100663296,FacebookAI/roberta-large,256,16,512,0
913.82638,3.218,3317472178176,2307.79019,8.542,7014440775680,2146.21978,8.195,7014440775680,50331648,FacebookAI/roberta-large,256,16,256,0
885.67804,3.154,3111313747968,2190.96159,8.359,6399186710528,2152.41373,8.123,6399186710528,25165824,FacebookAI/roberta-large,256,16,128,0
876.38807,3.086,3008234532864,2131.66217,8.36,6091559677952,2075.57826,8.136,6091559677952,12582912,FacebookAI/roberta-large,256,16,64,0
862.37919,3.047,2956694925312,2121.37187,8.264,5937746161664,2000.38116,7.308,5937746161664,6291456,FacebookAI/roberta-large,256,16,32,0
877.58264,3.051,2930925121536,2130.65714,8.282,5860839403520,2052.68484,7.768,5860839403520,3145728,FacebookAI/roberta-large,256,16,16,0
871.65547,3.061,2918040219648,2096.18121,8.293,5822386024448,2033.40752,7.717,5822386024448,1572864,FacebookAI/roberta-large,256,16,8,0
877.97338,3.094,2911597768704,2112.89052,8.263,5803159334912,2058.94634,7.789,5803159334912,786432,FacebookAI/roberta-large,256,16,4,0
876.10225,3.085,2908376543232,2097.10533,8.361,5793545990144,2056.13467,7.785,5793545990144,393216,FacebookAI/roberta-large,256,16,2,0
888.67604,3.001,2906765930496,2092.8548,8.057,5788739317760,2038.75818,8.049,5788739317760,196608,FacebookAI/roberta-large,256,16,1,0
563.37046,1.804,2178262508544,2146.47908,9.24,6534530697216,1839.00228,6.693,6534530697216,355412057,FacebookAI/roberta-large,256,12,-1,0
783.30929,2.483,3415817069568,2288.0995,8.007,8029473874944,2042.72045,8.266,8029473874944,201326592,FacebookAI/roberta-large,256,12,1024,0
701.20203,2.333,2797341778944,2003.09322,8.186,6183711679488,1885.60874,8.353,6183711679488,100663296,FacebookAI/roberta-large,256,12,512,0
671.39209,2.344,2488104133632,1866.33687,8.214,5260830581760,1804.94833,8.448,5260830581760,50331648,FacebookAI/roberta-large,256,12,256,0
661.04513,2.346,2333485310976,1714.2769,7.649,4799390032896,1733.67237,8.012,4799390032896,25165824,FacebookAI/roberta-large,256,12,128,0
654.81459,2.323,2256175899648,1688.54243,7.765,4568669758464,1600.05601,6.715,4568669758464,12582912,FacebookAI/roberta-large,256,12,64,0
646.13025,2.316,2217521193984,1688.66321,7.87,4453309621248,1605.45074,7.487,4453309621248,6291456,FacebookAI/roberta-large,256,12,32,0
635.89676,2.327,2198193841152,1669.81491,7.924,4395629552640,1591.77665,8.2,4395629552640,3145728,FacebookAI/roberta-large,256,12,16,0
653.8639,2.352,2188530164736,1708.28202,8.084,4366789518336,1668.12551,7.705,4366789518336,1572864,FacebookAI/roberta-large,256,12,8,0
653.62539,2.431,2183698326528,1713.71857,8.192,4352369501184,1637.65511,7.682,4352369501184,786432,FacebookAI/roberta-large,256,12,4,0
649.59057,2.469,2181282407424,1706.57717,8.185,4345159492608,1615.94799,7.34,4345159492608,393216,FacebookAI/roberta-large,256,12,2,0
641.26082,2.361,2180074447872,1658.01874,7.886,4341554488320,1707.72825,8.095,4341554488320,196608,FacebookAI/roberta-large,256,12,1,0
375.10893,1.431,1452175005696,1492.72446,5.857,4356370955264,1301.39813,5.493,4356370955264,355412057,FacebookAI/roberta-large,256,8,-1,0
538.25851,2.116,2277211379712,1739.05528,7.978,5352982583296,1481.40887,6.983,5352982583296,201326592,FacebookAI/roberta-large,256,8,1024,0
501.92645,2.132,1864894519296,1496.17942,7.544,4122474452992,1371.14994,8.273,4122474452992,100663296,FacebookAI/roberta-large,256,8,512,0
480.52588,2.107,1658736089088,1386.69677,7.882,3507220387840,1377.90484,8.227,3507220387840,50331648,FacebookAI/roberta-large,256,8,256,0
470.07981,2.132,1555656873984,1352.12194,7.75,3199593355264,1361.79828,8.162,3199593355264,25165824,FacebookAI/roberta-large,256,8,128,0
463.99517,2.159,1504117266432,1308.59967,7.766,3045779838976,1203.06383,6.73,3045779838976,12582912,FacebookAI/roberta-large,256,8,64,0
462.39986,2.14,1478347462656,1351.35601,8.041,2968873080832,1247.77907,7.155,2968873080832,6291456,FacebookAI/roberta-large,256,8,32,0
451.96393,2.102,1465462560768,1331.43509,7.829,2930419701760,1263.73618,7.164,2930419701760,3145728,FacebookAI/roberta-large,256,8,16,0
459.39317,2.141,1459020109824,1304.19728,7.94,2911193012224,1404.86404,8.541,2911193012224,1572864,FacebookAI/roberta-large,256,8,8,0
465.62503,2.219,1455798884352,1318.05044,8.051,2901579667456,1274.46898,7.593,2901579667456,786432,FacebookAI/roberta-large,256,8,4,0
454.99033,2.2,1454188271616,1312.08895,7.998,2896772995072,1266.63147,7.345,2896772995072,393216,FacebookAI/roberta-large,256,8,2,0
458.22063,2.128,1453382965248,1289.71661,7.567,2894369658880,1276.88814,7.337,2894369658880,196608,FacebookAI/roberta-large,256,8,1,0
225.05789,1.204,726087502848,1216.27112,8.325,2178211213312,791.52507,4.582,2178211213312,355412057,FacebookAI/roberta-large,256,4,-1,0
334.03362,1.981,1138605689856,1185.34945,7.904,2676491291648,980.05112,8.717,2676491291648,201326592,FacebookAI/roberta-large,256,4,1024,0
315.16841,1.988,932447259648,1075.26188,7.857,2061237226496,846.91816,8.626,2061237226496,100663296,FacebookAI/roberta-large,256,4,512,0
306.04773,1.967,829368044544,908.69705,7.896,1753610193920,881.32314,7.34,1753610193920,50331648,FacebookAI/roberta-large,256,4,256,0
306.56678,2.009,777828436992,785.24198,7.845,1599796677632,832.13703,6.375,1599796677632,25165824,FacebookAI/roberta-large,256,4,128,0
296.03623,1.962,752058633216,776.41995,8.023,1522889919488,847.74807,8.212,1522889919488,12582912,FacebookAI/roberta-large,256,4,64,0
