flops,count,self_device_time_total,self_cpu_time_total,device_time_total,cpu_time_total,self_device_memory_usage,self_cpu_memory_usage,device_memory_usage,cpu_memory_usage,name,is_annotation,device,record_step,self_cpu_time_total_percentage,cpu_time_total_percentage
0,1,0,1259.3509999999978,0,4343.423,0,-381440,0,0,ProfilerStep*,True,CPU,__init__,28.99443595523618,43.59131129023433
0,1,0,31.67999999999995,0,1040.165,0,0,0,20480,aten::matmul,False,CPU,naive,0.72937864905168,10.439267901884435
5242880,1,0,1005.7330000000002,0,1008.485,0,20480,0,20480,aten::mm,False,CPU,naive,23.155308612585056,10.121322184491811
0,1,0,2.127999999999929,0,2.127999999999929,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.048993616325187055,0.021356959804655355
0,1,0,0.32799999999997453,0,0.32799999999997453,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.007551647629069851,0.003291862225529439
0,1,0,0.2959999999999354,0,0.2959999999999354,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.006814901518915736,0.0029707049352334664
0,1,0,19.142000000000053,0,84.26700000000005,0,0,0,320,aten::matmul,False,CPU,naive,0.44071231376727654,0.8457175431668016
81920,1,0,63.98999999999978,0,65.125,0,320,0,320,aten::mm,False,CPU,naive,1.4732619871469987,0.6536052665781139
0,1,0,0.49300000000016553,0,0.49300000000016553,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.011350494759551754,0.00494782950361794
0,1,0,0.31799999999998363,0,0.31799999999998363,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.00732141446964718,0.003191500572312161
0,1,0,0.3240000000000691,0,0.3240000000000691,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.007459554365302877,0.003251717564243441
0,1,0,7.451999999999998,0,50.249000000000024,0,0,0,20480,aten::matmul,False,CPU,naive,0.1715697504019295,0.5043072712519564
81920,1,0,41.792000000000144,0,42.797000000000025,0,20480,0,20480,aten::mm,False,CPU,naive,0.9621904198600999,0.4295177672743732
0,1,0,0.3669999999999618,0,0.3669999999999618,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.008449556950818785,0.0036832726730770494
0,1,0,0.31899999999996,0,0.31899999999996,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.0073444377855889234,0.0032015367376336612
0,1,0,0.31899999999996,0,0.31899999999996,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.0073444377855889234,0.0032015367376336612
5120,1,0,42.21100000000001,0,42.21100000000001,0,20480,0,20480,aten::add,False,CPU,naive,0.9718371892399155,0.4236365743958353
0,1,0,8.151000000000067,0,34.56099999999992,0,0,0,320,aten::matmul,False,CPU,naive,0.18766304824559035,0.3468599096845473
81920,1,0,25.44199999999978,0,26.409999999999854,0,320,0,320,aten::mm,False,CPU,naive,0.5857592042036841,0.2650551261470694
0,1,0,0.35400000000004184,0,0.35400000000004184,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.008150253843570885,0.003552802523895273
0,1,0,0.3269999999999982,0,0.3269999999999982,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.007528624313128107,0.0032818260602079396
0,1,0,0.28700000000003456,0,0.28700000000003456,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.006607691675437427,0.0028803794473388294
0,1,0,7.511000000000195,0,34.8900000000001,0,0,0,20480,aten::matmul,False,CPU,naive,0.17292812604252902,0.35016180807540054
81920,1,0,26.406999999999698,0,27.378999999999905,0,20480,0,20480,aten::mm,False,CPU,naive,0.60797670408799,0.2747801703438329
0,1,0,0.3330000000000837,0,0.3330000000000837,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.007666764208783802,0.0033420430521392186
0,1,0,0.31999999999993634,0,0.31999999999993634,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.007367461101530667,0.0032115729029551605
0,1,0,0.31900000000018736,0,0.31900000000018736,0,0,0,0,aten::resolve_conj,False,CPU,naive,0.007344437785594159,0.003201536737635943
5120,1,0,14.723999999999933,0,14.723999999999933,0,20480,0,20480,aten::add,False,CPU,naive,0.3389953039342457,0.14777249819725305
0,1,0,11.926999999999907,0,165.98199999999997,0,0,0,20480,aten::matmul,False,CPU,soups,0.27459908924366583,1.6658227924325295
5242880,1,0,152.86699999999996,0,154.05500000000006,0,20480,0,20480,aten::mm,False,CPU,soups,3.5195052381497263,1.5461214486401746
0,1,0,0.5480000000000018,0,0.5480000000000018,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.012616777136373818,0.005499818596311825
0,1,0,0.3170000000000073,0,0.3170000000000073,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.007298391153705436,0.003181464406990662
0,1,0,0.32300000000009277,0,0.32300000000009277,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.007436531049361133,0.0032416813989219408
0,1,0,11.834000000000287,0,41.79300000000012,0,0,0,320,aten::matmul,False,CPU,soups,0.2724579208610418,0.41944145729135035
81920,1,0,28.712999999999738,0,29.958999999999833,0,320,0,320,aten::mm,False,CPU,soups,0.6610684706509069,0.3006734768739133
0,1,0,0.6330000000002656,0,0.6330000000002656,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.014573758991474365,0.0063528926486621055
0,1,0,0.3040000000000873,0,0.3040000000000873,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.006999088046457536,0.003050994257808886
0,1,0,0.3089999999997417,0,0.3089999999997417,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.007114204626161019,0.003101175084414102
80,1,0,44.90700000000015,0,109.16699999999992,0,316,0,320,aten::mul,False,CPU,soups,1.033908049020327,1.0956180596780485
0,1,0,8.104999999999563,0,64.25999999999976,0,0,0,4,aten::to,False,CPU,soups,0.1866039757122335,0.6449239835748091
0,1,0,25.995000000000346,0,56.1550000000002,0,0,0,4,aten::_to_copy,False,CPU,soups,0.5984910979197823,0.5635808636421361
0,1,0,12.375,0,12.375,0,4,0,4,aten::empty_strided,False,CPU,soups,0.28491353478581294,0.1241975458564938
0,1,0,17.784999999999854,0,17.784999999999854,0,0,0,0,aten::copy_,False,CPU,soups,0.40946967403358725,0.1784932002470888
0,1,0,10.65099999999984,0,41.36400000000003,0,0,0,20480,aten::matmul,False,CPU,soups,0.24522133810130492,0.41513594236832435
81920,1,0,29.588999999999942,0,30.713000000000193,0,20480,0,20480,aten::mm,False,CPU,soups,0.6812368954163558,0.30824074552650654
0,1,0,0.5199999999999818,0,0.5199999999999818,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.011972124289989297,0.005218805967302991
0,1,0,0.30300000000033833,0,0.30300000000033833,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.006976064730521028,0.003040958092489668
0,1,0,0.3009999999999309,0,0.3009999999999309,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.0069300180986270705,0.003020885761842105
5120,1,0,19.152999999999793,0,19.152999999999793,0,20480,0,20480,aten::add,False,CPU,soups,0.44096557024263566,0.19222267440722426
0,1,0,9.667999999999665,0,34.353999999999814,0,0,0,320,aten::matmul,False,CPU,soups,0.22258941853003184,0.3447824234629467
81920,1,0,23.60400000000027,0,24.68600000000015,0,320,0,320,aten::mm,False,CPU,soups,0.5434423495017702,0.24775277713239793
0,1,0,0.4539999999997235,0,0.4539999999997235,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.010452585437792348,0.004556419056065766
0,1,0,0.3140000000003056,0,0.3140000000003056,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.007229321205885441,0.003151355911028445
0,1,0,0.31399999999985084,0,0.31399999999985084,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.007229321205874972,0.0031513559110238815
80,1,0,19.200999999999567,0,49.82899999999972,0,316,0,320,aten::mul,False,CPU,soups,0.44207068940786026,0.5000920818168239
0,1,0,4.870000000000346,0,30.628000000000156,0,0,0,4,aten::to,False,CPU,soups,0.1121235486389501,0.3073876714741585
0,1,0,12.755999999999858,0,25.75799999999981,0,0,0,4,aten::_to_copy,False,CPU,soups,0.2936854181598214,0.2585115463572965
0,1,0,6.161999999999807,0,6.161999999999807,0,4,0,4,aten::empty_strided,False,CPU,soups,0.1418696728363737,0.06184285071254068
0,1,0,6.8400000000001455,0,6.8400000000001455,0,0,0,0,aten::copy_,False,CPU,soups,0.1574794810452527,0.06864737080068167
0,1,0,8.338000000000193,0,35.75,0,0,0,20480,aten::matmul,False,CPU,soups,0.1919684083268011,0.3587929102520932
81920,1,0,26.454999999999927,0,27.411999999999807,0,20480,0,20480,aten::mm,False,CPU,soups,0.6090818232532251,0.2751113637994492
0,1,0,0.35599999999976717,0,0.35599999999976717,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.008196300475449137,0.00357287485453599
0,1,0,0.29899999999997817,0,0.29899999999997817,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.006883971466743584,0.0030008134311991057
0,1,0,0.3020000000001346,0,0.3020000000001346,0,0,0,0,aten::resolve_conj,False,CPU,soups,0.00695304141457405,0.0030309219271658864
5120,1,0,12.67599999999993,0,12.67599999999993,0,20480,0,20480,aten::add,False,CPU,soups,0.29184355288444,0.12721843161833593
